Framework,Backend,Chars,UniqueTerms,TotalMatches,PrinciplesCovered,Time_s,Error
UNCCD-LDN,pdfplumber,301318,490,6158,13,11.16,
UNCCD-LDN,pypdf,307523,487,6217,13,3.31,
UNCCD-LDN,Docling,178139,286,2568,13,180.45,
USDA-CFSHAG,PyMuPDF,49721,194,1064,13,0.22,
USDA-CFSHAG,pdfplumber,48565,194,1064,13,1.77,
USDA-CFSHAG,pypdf,49509,194,1059,13,0.61,
USDA-CFSHAG,Docling,52033,196,1017,13,83.69,
WRI-EHWB,PyMuPDF,660759,876,10164,14,0.55,
WRI-EHWB,pdfplumber,670809,876,10179,14,42.54,
WRI-EHWB,pypdf,670897,876,10169,14,5.26,
WRI-EHWB,Docling,325318,609,4825,13,323.21,
Wezel-TAPE,PyMuPDF,68344,238,1261,14,0.12,
Wezel-TAPE,pdfplumber,67213,225,1154,14,2.93,
Wezel-TAPE,pypdf,68365,237,1250,14,0.88,
Wezel-TAPE,Docling,68371,247,1297,14,40.95,
cgiar-ll,PyMuPDF,71546,138,608,13,0.11,
cgiar-ll,pdfplumber,69751,138,608,13,2.59,
cgiar-ll,pypdf,71279,136,602,13,1.8,
cgiar-ll,Docling,91279,137,607,13,53.86,
govind-DUS,PyMuPDF,42868,236,1169,14,0.06,
govind-DUS,pdfplumber,42034,236,1169,14,1.0,
govind-DUS,pypdf,42751,233,1145,14,0.23,
govind-DUS,Docling,46459,227,1111,14,31.63,
nestle-RAF,PyMuPDF,83314,402,2262,14,0.2,
nestle-RAF,pdfplumber,81073,405,2267,14,3.45,
nestle-RAF,pypdf,82758,402,2257,14,0.52,
nestle-RAF,Docling,100298,418,2343,14,187.08,
sayer-LA,PyMuPDF,57781,197,820,13,0.11,
sayer-LA,pdfplumber,56462,170,631,13,1.36,
sayer-LA,pypdf,57894,188,798,13,0.29,
sayer-LA,Docling,63529,204,877,13,17.38,
